PrdAcctId,CityCd,CusType,MaritalStatus,SexCode,MemberType,KYCYN,Years since opening the account,years for cust,Age,ActTotBalFcy,churn?
SB,MUM,10.0,2.0,M ,0.0,Y,15.0,16.0,75.0,428332.07,0
SB,MUM,1.0,2.0,M ,0.0,N,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,52.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,N,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,F ,0.0,N,16.0,16.0,47.0,0.0,0
SB,MUM,1.0,2.0,F ,0.0,Y,16.0,16.0,24.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,N,16.0,16.0,20.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,16.0,16.0,48.0,6339.26,0
SB,MUM,1.0,1.0,M ,1.0,Y,16.0,16.0,40.0,345.19,0
SB,MUM,1.0,2.0,F ,0.0,Y,16.0,16.0,39.0,12685.43,0
SB,NMM,1.0,2.0,F ,1.0,Y,16.0,16.0,60.0,818.47,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,16.0,42.0,0.07,0
SB,MUM,1.0,2.0,M ,1.0,Y,16.0,16.0,40.0,47.1,0
SB,MUM,1.0,1.0,F ,0.0,N,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,4691.93,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,510.0,0
SB,NMM,10.0,2.0,M ,1.0,Y,16.0,16.0,68.0,63687.37,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,2031.86,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,NBO,1.0,2.0,M ,1.0,Y,16.0,16.0,48.0,1073869.48,0
SB,NBO,1.0,2.0,M ,1.0,Y,13.0,16.0,48.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,46.0,5070.09,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,48.0,83.5,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,57.0,1018.0,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,16.0,35.0,43571.14,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,44.0,2100.45,0
SB,MUM,1.0,2.0,F ,1.0,Y,16.0,16.0,48.0,13735.45,0
SB,MUM,10.0,2.0,M ,1.0,Y,16.0,16.0,80.0,6656.5,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,1.0,F ,0.0,Y,16.0,16.0,37.0,0.03,0
SB,NMM,10.0,2.0,M ,0.0,Y,16.0,16.0,77.0,24479.5,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,1677.91,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,55.0,44900.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,16.0,16.0,78.0,40296.7,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,46.0,1906.33,0
SB,MUM,1.0,2.0,F ,0.0,Y,16.0,16.0,35.0,0.0,0
SB,MUM,1.0,1.0,F ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,1.0,M ,1.0,Y,16.0,16.0,38.0,3023.0,0
SB,MUM,1.0,1.0,F ,1.0,Y,16.0,16.0,36.0,8282.03,0
SB,MUM,10.0,2.0,M ,0.0,Y,16.0,16.0,66.0,174604.28,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,10.0,2.0,M ,1.0,Y,16.0,16.0,74.0,3367.04,0
SB,MUM,1.0,2.0,F ,0.0,Y,16.0,16.0,46.0,0.0,0
SB,MUM,1.0,2.0,F ,0.0,Y,16.0,16.0,40.0,2103.67,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.0,1
SB,MUM,1.0,1.0,F ,0.0,N,16.0,16.0,45.0,0.0,0
SB,NMM,1.0,2.0,F ,0.0,Y,16.0,16.0,55.0,405.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,51.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,16.0,16.0,66.0,1994.17,0
SB,MUM,1.0,2.0,F ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,54.0,0.0,0
SB,MUM,1.0,1.0,F ,0.0,N,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,16.0,37.0,1574.94,0
SB,MUM,1.0,2.0,F ,1.0,Y,16.0,16.0,59.0,96702.02,0
SB,MUM,1.0,2.0,F ,1.0,Y,12.0,16.0,59.0,5173.5,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,1803.07,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.0,1
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.0,1
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.0,1
SB,MUM,1.0,2.0,M ,0.0,N,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,2.0,Y,16.0,16.0,40.0,981.41,0
SB,NMM,1.0,2.0,M ,0.0,Y,16.0,16.0,49.0,0.0,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,3329.93,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,16.0,40.0,9282.15,0
SB,MUM,1.0,2.0,F ,1.0,Y,16.0,16.0,42.0,177065.21,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,16.0,49.0,8127.93,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,42.0,68.82,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,29.0,2316.0,0
SB,NBO,1.0,2.0,M ,0.0,Y,16.0,16.0,59.0,526.12,0
SB,MUM,1.0,2.0,F ,0.0,Y,16.0,16.0,47.0,44453.4,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,16.0,38.0,1950.95,0
SB,MUM,10.0,2.0,M ,1.0,Y,16.0,16.0,75.0,11261.2,0
SB,NMM,1.0,2.0,M ,0.0,Y,16.0,16.0,51.0,1037.32,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,54.0,1024.31,0
SB,MUM,1.0,2.0,M ,1.0,Y,16.0,16.0,54.0,0.0,0
OD,MUM,1.0,2.0,M ,1.0,N,14.0,16.0,54.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,53.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,50.0,52474.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,51.0,0.0,0
SB,NMM,1.0,2.0,F ,0.0,Y,16.0,16.0,47.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,1.0,M ,0.0,N,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,1.0,M ,1.0,Y,16.0,16.0,47.0,8921.1,0
SB,MUM,1.0,2.0,M ,0.0,N,16.0,16.0,40.0,0.0,0
SB,NBO,1.0,2.0,M ,0.0,Y,16.0,16.0,59.0,1255.07,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,852.0,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,16.0,49.0,0.0,0
SB,THN,1.0,2.0,M ,1.0,Y,16.0,16.0,40.0,0.0,0
SB,THN,1.0,2.0,M ,1.0,Y,14.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.0,1
SB,NBO,1.0,2.0,M ,0.0,Y,16.0,16.0,56.0,0.01,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,N,16.0,16.0,40.0,0.0,0
OD,MUM,1.0,2.0,M ,1.0,Y,15.0,16.0,40.0,0.0,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,16.0,31.0,3500.87,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,61.0,875054.84,0
SB,NBO,1.0,2.0,F ,0.0,Y,16.0,16.0,42.0,54275.88,0
SB,MUM,1.0,1.0,M ,0.0,Y,16.0,16.0,40.0,1709.77,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,37.0,1637.28,0
SB,MUM,1.0,2.0,M ,0.0,Y,13.0,16.0,71.0,7590.82,0
SB,MUM,1.0,2.0,M ,0.0,N,16.0,16.0,65.0,0.74,0
SB,MUM,1.0,1.0,F ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,NMM,1.0,2.0,M ,0.0,Y,16.0,16.0,50.0,0.0,1
SB,NMM,1.0,2.0,M ,0.0,Y,16.0,16.0,42.0,2229.94,0
SB,MUM,1.0,2.0,M ,0.0,N,16.0,16.0,74.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,2610.93,0
SB,MUM,10.0,2.0,M ,1.0,Y,13.0,16.0,84.0,144421.32,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,1243.0,0
SB,MUM,1.0,2.0,M ,0.0,N,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,39.0,0.0,0
SB,MUM,1.0,2.0,M ,2.0,N,16.0,16.0,58.0,0.0,0
SB,NMM,1.0,2.0,F ,0.0,Y,16.0,16.0,54.0,415937.76,0
SB,MUM,1.0,2.0,M ,0.0,N,16.0,16.0,52.0,0.0,0
SB,NMM,1.0,4.0,F ,0.0,Y,16.0,16.0,64.0,265.09,0
SB,NMM,1.0,4.0,F ,0.0,Y,12.0,16.0,64.0,0.0,0
SB,NMM,1.0,2.0,M ,1.0,Y,14.0,16.0,40.0,482.19,0
SB,MUM,11.0,2.0,M ,0.0,Y,16.0,16.0,46.0,0.0,0
SB,MUM,10.0,2.0,M ,1.0,Y,16.0,16.0,74.0,997.81,0
SB,MUM,1.0,2.0,M ,1.0,N,16.0,16.0,77.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,62.0,2476.85,0
SB,MUM,1.0,2.0,M ,1.0,Y,16.0,16.0,49.0,1224.99,0
SB,MUM,1.0,2.0,M ,0.0,N,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,42.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,N,16.0,16.0,55.0,0.0,0
SB,MUM,1.0,2.0,F ,0.0,Y,16.0,16.0,26.0,0.0,0
SB,MUM,1.0,2.0,F ,0.0,N,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,N,16.0,16.0,40.0,209.22,0
SB,MUM,1.0,2.0,M ,1.0,N,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,N,16.0,16.0,40.0,367.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,0.11,0
SB,MUM,1.0,2.0,F ,0.0,Y,16.0,16.0,61.0,1357.52,0
SB,MUM,1.0,2.0,F ,0.0,Y,16.0,16.0,48.0,0.0,0
SB,NBO,10.0,2.0,M ,1.0,Y,16.0,16.0,70.0,133025.09,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,7161.77,0
SB,NMM,1.0,2.0,M ,1.0,Y,16.0,16.0,52.0,72162.29,0
SB,MUM,1.0,2.0,M ,1.0,Y,16.0,16.0,40.0,1174.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,52.0,188.39,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,40.0,6132.45,0
SB,MUM,1.0,2.0,M ,0.0,N,16.0,16.0,49.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,16.0,16.0,59.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,60.0,0.0,1
SB,MUM,1.0,2.0,F ,0.0,Y,16.0,16.0,68.0,794.86,0
CA,MUM,1.0,2.0,M ,0.0,N,16.0,16.0,50.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,39.0,0.0,0
SB,MUM,1.0,2.0,F ,0.0,N,16.0,16.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,35.0,1551.7,0
SB,MUM,1.0,2.0,M ,1.0,Y,16.0,16.0,40.0,359.0,0
SB,MUM,1.0,2.0,M ,1.0,N,16.0,16.0,40.0,2101.5,0
SB,MUM,1.0,2.0,M ,1.0,N,16.0,16.0,40.0,368.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,16.0,16.0,50.0,2146.4,0
SB,MUM,1.0,2.0,M ,1.0,Y,16.0,16.0,60.0,51536.03,0
SB,MUM,10.0,2.0,M ,0.0,Y,16.0,16.0,63.0,122348.38,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,53.0,0.0,0
SB,MUM,1.0,2.0,F ,1.0,Y,15.0,15.0,41.0,245.27,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,40.0,0.0,1
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,53.0,8971.14,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,48.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,70.0,7058.41,0
SB,MUM,1.0,1.0,M ,1.0,Y,15.0,15.0,65.0,12368.99,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,0.0,1
SB,NBO,1.0,2.0,M ,1.0,Y,15.0,15.0,46.0,7502.86,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,F ,0.0,N,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,58.0,2327.07,0
SB,NMM,1.0,1.0,F ,0.0,Y,15.0,15.0,35.0,1865.71,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,40.0,367.0,0
SB,NBO,1.0,2.0,M ,0.0,Y,15.0,15.0,47.0,33647.34,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,57.0,26477.0,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,64.0,0.0,0
SB,MUM,1.0,2.0,F ,0.0,N,15.0,15.0,40.0,0.0,1
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,51.0,0.0,1
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,F ,0.0,Y,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,40.0,367.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,40.0,4484.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,51.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,58.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,56.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,58.0,1126.14,0
SB,MUM,1.0,2.0,F ,0.0,N,15.0,15.0,40.0,117.43,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,59.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,67.0,4495.93,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,40.0,7712.64,0
SB,MUM,1.0,2.0,F ,1.0,Y,15.0,15.0,48.0,184.97,0
SB,NBO,1.0,2.0,M ,0.0,Y,15.0,15.0,74.0,68534.5,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,46.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,0.0,0
SB,MUM,10.0,2.0,M ,0.0,Y,15.0,15.0,61.0,18984.7,0
SB,MUM,1.0,1.0,F ,0.0,Y,15.0,15.0,35.0,706807.92,0
SB,MUM,1.0,1.0,F ,0.0,Y,15.0,15.0,53.0,146039.12,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,0.0,1
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,352982.35,0
SB,MUM,1.0,2.0,F ,0.0,Y,15.0,15.0,40.0,0.1,0
SB,NMM,1.0,1.0,F ,0.0,Y,15.0,15.0,40.0,67261.09,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,53.0,0.06,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,40.0,209.87,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,51.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,F ,0.0,Y,15.0,15.0,50.0,40046.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,59.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,14.0,15.0,45.0,4592.14,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,2378.34,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,865.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,40.0,0.0,0
SB,NBO,10.0,2.0,M ,2.0,Y,15.0,15.0,75.0,140813.28,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,76.0,42.25,0
SB,MUM,10.0,2.0,M ,1.0,Y,15.0,15.0,70.0,36079.98,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,1546.97,0
SB,MUM,1.0,2.0,F ,0.0,N,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,60.0,2741.6,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,0.0,0
SB,NMM,10.0,2.0,M ,1.0,Y,14.0,15.0,80.0,71955.77,0
SB,MUM,1.0,2.0,F ,0.0,Y,15.0,15.0,34.0,1433.0,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,40.0,385.45,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,40.0,367.75,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,40.0,367.1,0
SB,MUM,1.0,1.0,M ,0.0,Y,15.0,15.0,53.0,465.0,0
SB,MUM,1.0,2.0,F ,2.0,Y,15.0,15.0,58.0,3283.72,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,F ,2.0,Y,15.0,15.0,40.0,1509.78,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,39.0,1029.56,0
SB,MUM,1.0,2.0,F ,1.0,Y,15.0,15.0,56.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,683.35,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,55.0,1338.67,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,12162.06,0
SB,MUM,1.0,2.0,F ,0.0,N,15.0,15.0,40.0,0.0,0
SB,NMM,1.0,2.0,M ,1.0,Y,15.0,15.0,52.0,25173.02,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,55.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,71.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,40.0,5529.09,0
SB,MUM,10.0,2.0,M ,1.0,Y,15.0,15.0,68.0,5224.29,0
OD,MUM,10.0,2.0,M ,1.0,Y,13.0,15.0,68.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,0.0,0
OD,NBO,1.0,1.0,M ,1.0,Y,12.0,11.0,41.0,0.0,0
OD,NBO,1.0,1.0,M ,1.0,Y,15.0,11.0,41.0,0.0,0
CC,NBO,1.0,1.0,M ,1.0,Y,2.0,11.0,41.0,-2604925.94,0
CA,NBO,1.0,1.0,M ,1.0,Y,15.0,11.0,41.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,78.0,42415.57,0
SB,MUM,1.0,1.0,F ,0.0,Y,15.0,15.0,40.0,1966.6,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,F ,0.0,Y,13.0,15.0,40.0,0.0,1
SB,NBO,1.0,2.0,M ,0.0,Y,15.0,15.0,55.0,0.0,0
SB,NBO,1.0,2.0,M ,0.0,Y,15.0,15.0,55.0,0.0,0
SB,MUM,1.0,2.0,M ,0.0,N,15.0,15.0,41.0,0.0,1
SB,MUM,1.0,1.0,F ,1.0,Y,15.0,15.0,41.0,5528.79,0
SB,NBO,1.0,2.0,M ,0.0,Y,15.0,15.0,60.0,0.0,0
SB,MUM,1.0,2.0,F ,0.0,Y,15.0,15.0,55.0,0.0,0
SB,MUM,1.0,2.0,F ,0.0,Y,13.0,15.0,55.0,13561.06,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,40.0,0.0,1
SB,NMM,1.0,2.0,F ,0.0,Y,15.0,15.0,66.0,269167.5,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,57.0,14358.89,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,62.0,9669.22,0
SB,MUM,1.0,2.0,M ,0.0,Y,15.0,15.0,44.0,1173.06,0
SB,MUM,1.0,1.0,M ,1.0,N,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,F ,0.0,Y,15.0,15.0,56.0,0.0,0
SB,MUM,1.0,1.0,M ,1.0,Y,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,Y,15.0,15.0,40.0,367.75,0
SB,MUM,1.0,2.0,M ,1.0,N,15.0,15.0,40.0,0.0,0
SB,MUM,1.0,2.0,M ,1.0,N,15.0,15.0,40.0,367.75,0
SB,MUM,1.0,2.0,M ,1.0,N,15.0,15.0,40.0,0.0,0
